"time","T_S","V_l","p_S","qm_S"
950.4,192.12314140954095,67.19377913145279,13.145942404579472,25.291884809158944
961.2,193.55317765882432,66.99083490847026,13.558821062838643,26.117642125677285
972,194.97746934365148,66.7767342612067,13.980047810808925,26.96009562161785
982.8,196.39548945194338,66.55114374397823,14.409503489125216,27.81900697825043
993.6,197.80672311735793,66.31373064856037,14.847055251871078,28.694110503742156
1004.4,199.2106757314333,66.06416416086405,15.292559283878395,29.58511856775679
1015.2,200.60686778191393,65.80211516182626,15.745859571102983,30.491719142205966
1026,201.99483791614148,65.52725722166471,16.206789259945218,31.413578519890436
1036.8,203.37414300863736,65.23926698094634,16.675171173148247,32.35034234629649
1047.6,204.7443574304151,64.93782435782832,17.15081809236231,33.30163618472462
1058.4,206.10507330513474,64.6226130182494,17.633533397215764,34.26706679443153
1069.2,207.4559025625831,64.2933211403825,18.123112401466656,35.24622480293331
1080,208.79647453196947,63.94964132026256,18.619342134146,36.238684268292
1090.8,210.12643808543135,63.59127138433996,19.12200275472352,37.24400550944704
1101.6,211.44546141236856,63.21791475063256,19.63086814300134,38.26173628600268
1112.4,212.753231522668,62.82928076906261,20.145706358619577,39.291412717239155
1123.2,214.049450165468,62.425083450078674,20.66627860083395,40.3325572016679
1134,215.33251248609884,62.006551846718615,21.191793141031646,41.38358628206329
1144.8,216.5443028926718,61.63856970727817,21.69758953261045,42.3951790652209
1155.6,217.65681437031049,61.353432948926994,22.170158362922294,43.34031672584459
1166.4,218.67628416192542,61.1458786019463,22.61019246684036,44.22038493368072
1177.2,219.60962977359213,61.010448856505384,23.018978354125622,45.037956708251244
1188,220.46434327637007,60.94146883819542,23.398344750430326,45.79668950086065
1198.8,221.24823844766752,60.93312920965475,23.750536823002534,46.50107364600507
1209.6,221.96925571695533,60.9795526682323,24.07810684388128,47.15621368776256
1220.4,222.6353008525117,61.07485651220931,24.383815069097007,47.767630138194015
1231.2,223.25410159005423,61.21321308941078,24.670536596346917,48.341073192693834
1242,223.83308247865887,61.38890713865449,24.94117625743125,48.8823525148625
1252.8,224.37926281492935,61.596388061349494,25.19859521913441,49.39719043826882
1263.6,224.8991947769665,61.83031109396502,25.44555844496832,49.89111688993664
1274.4,225.39891721070273,62.08557400404174,25.684692214329253,50.369384428658506
